cod,texto
i1,trabajo comunidad  decisiones  organizarse expresar opinión actitudes convivencia
i2,todomomento analice reflexione soluciones  diversas estrategias
i3,organizarse exposiciones  resolución 
i4,reflexiones trabajo 
