cod,texto
i1,alumnos movilizan conocimientos nuevos aprendizajes  cuestiona saberes
i2,capacidad razonamiento resolver problema 
i3,pensamiento reflexionar crear cuestionar participar dudar corregir
i4,capacidad reflexionar analizar  criticar
