cod,texto
i1,situaciones reales significativo aprendizaje autonomía decisiones trabajo comunidad contexto responsabilidad
i2,real reflexión trabajo investigación soluciones
i3,situaciones reales entorno solución decisiones humanista
i4,empático  situaciones solución pensamiento crítico  comunicar 
